UPID,taxonomy,species_binomial,superkingdom
UP000220102,1850348,Longibacter_salinarum,Bacteria
UP000223071,2761530,Tepidiforma_thermophila,Bacteria
UP000231134,1896222,Hallerella_succinigenes,Bacteria
UP000234329,187490,Acidithiobacillus_marinus,Bacteria
UP000235584,960,Bacteriovorax_stolpii,Bacteria
UP000236569,200253,Deinococcus_aerius,Bacteria
UP000237684,1960156,Abditibacterium_utsteinense,Bacteria
UP000245959,172901,Victivallis_vadensis,Bacteria
UP000245962,2174845,Marixanthomonas_spongiae,Bacteria
UP000249818,2026885,Candidatus_Bipolaricaulis_anaerobius,Bacteria
UP000264006,1608957,Euzebya_pacifica,Bacteria
UP000287224,1936993,Dictyobacter_aurantiacus,Bacteria
UP000297713,2795386,Methylacidiphilum_caldifontis,Bacteria
UP000298264,2484901,Leptospira_ilyithenensis,Bacteria
UP000306585,2528639,Mariprofundus_erugo,Bacteria
UP000306912,2579976,Culicoidibacter_larvae,Bacteria
UP000315995,2292766,Persicimonas_caeni,Bacteria
UP000317238,2527996,Crateriforma_conspicua,Bacteria
UP000317371,1204385,Litorilinea_aerophila,Bacteria
UP000317557,1302730,Gracilimonas_mengyeensis,Bacteria
UP000321580,1564516,Phaeodactylibacter_luteus,Bacteria
UP000323646,2593411,Selenomonas_ruminis,Bacteria
UP000334340,2211376,Candidatus_Methylomirabilis_lanthanidiphila,Bacteria
UP000366872,2750659,Pontiella_desulfatans,Bacteria
UP000464954,2697043,Tichowtungia_aerotolerans,Bacteria
UP000514720,2782163,Candidatus_Xianfuyuplasma_coldseepsis,Bacteria
UP000520814,685828,Armatimonas_rosea,Bacteria
UP000528322,682562,Desulfurispira_natronophila,Bacteria
UP000538666,1577686,Silvibacterium_bohemicum,Bacteria
UP000541810,1385975,Algisphaera_agarilytica,Bacteria
UP000582837,1639882,Longimicrobium_terrae,Bacteria
UP000594463,2847778,Atribacter_laminatus,Bacteria
UP000594468,2710758,Phototrophicus_methaneseepsis,Bacteria
UP000636888,2798584,Geomesophilobacter_sediminis,Bacteria
UP000654482,945747,Lusitaniella_coriacea,Bacteria
UP000676169,2824561,Luteolibacter_ambystomatis,Bacteria
UP001161325,2014610,Roseisolibacter_agri,Bacteria
UP001216390,467976,Iamia_majanohamensis,Bacteria
UP001228113,2927980,Mesoterricola_sediminis,Bacteria
UP001238163,760260,Oligosphaera_ethanolica,Bacteria
